name,sim,l1,l2
bert.embeddings.position_ids,0.9980469,0.0,0.0
bert.embeddings.word_embeddings.weight,0.9994229,35.237060546875,0.28614380955696106
bert.embeddings.position_embeddings.weight,0.9945833,0.409338116645813,0.03168107941746712
bert.embeddings.token_type_embeddings.weight,0.9957127,0.0005190891679376364,0.0005069919279776514
bert.embeddings.LayerNorm.weight,0.99999756,1.1528685092926025,0.05301329866051674
bert.embeddings.LayerNorm.bias,0.99995404,0.3973615765571594,0.019195491448044777
bert.encoder.layer.0.attention.self.query.weight,0.99889296,1.2120611667633057,0.054775625467300415
bert.encoder.layer.0.attention.self.query.bias,0.99998164,1.0615342855453491,0.047331131994724274
bert.encoder.layer.0.attention.self.key.weight,0.99889755,1.1986745595932007,0.05416100099682808
bert.encoder.layer.0.attention.self.key.bias,0.9997858,0.03558507561683655,0.001849123276770115
bert.encoder.layer.0.attention.self.value.weight,0.99796677,1.0931711196899414,0.04942789673805237
bert.encoder.layer.0.attention.self.value.bias,0.9998798,0.39020437002182007,0.017720654606819153
bert.encoder.layer.0.attention.output.dense.weight,0.99792814,1.0873371362686157,0.04914498329162598
bert.encoder.layer.0.attention.output.dense.bias,0.9997777,0.45395931601524353,0.020728886127471924
bert.encoder.layer.0.attention.output.LayerNorm.weight,0.99999803,1.1422367095947266,0.05258984863758087
bert.encoder.layer.0.attention.output.LayerNorm.bias,0.99999774,0.4197329878807068,0.019270949065685272
bert.encoder.layer.0.intermediate.dense.weight,0.99855757,4.877207279205322,0.11037857085466385
bert.encoder.layer.0.intermediate.dense.bias,0.9998962,4.160006523132324,0.09485801309347153
bert.encoder.layer.0.output.dense.weight,0.9985466,1.1223578453063965,0.050720471888780594
bert.encoder.layer.0.output.dense.bias,0.9999654,0.40805357694625854,0.018479378893971443
bert.encoder.layer.0.output.LayerNorm.weight,0.9999974,1.0507267713546753,0.048141807317733765
bert.encoder.layer.0.output.LayerNorm.bias,0.9999833,0.37580645084381104,0.016873931512236595
bert.encoder.layer.1.attention.self.query.weight,0.9988618,1.2148418426513672,0.05491141974925995
bert.encoder.layer.1.attention.self.query.bias,0.999961,0.9547158479690552,0.044392578303813934
bert.encoder.layer.1.attention.self.key.weight,0.99889934,1.1858476400375366,0.05364983156323433
bert.encoder.layer.1.attention.self.key.bias,0.99990237,0.03888208419084549,0.0019930002745240927
bert.encoder.layer.1.attention.self.value.weight,0.9981245,1.0464940071105957,0.04750285670161247
bert.encoder.layer.1.attention.self.value.bias,0.99986786,0.42018115520477295,0.018844550475478172
bert.encoder.layer.1.attention.output.dense.weight,0.9977993,1.0785573720932007,0.04873218014836311
bert.encoder.layer.1.attention.output.dense.bias,0.9999249,0.4521971344947815,0.020499028265476227
bert.encoder.layer.1.attention.output.LayerNorm.weight,0.99999785,1.1194851398468018,0.05072181671857834
bert.encoder.layer.1.attention.output.LayerNorm.bias,0.9999936,0.42892682552337646,0.01929294317960739
bert.encoder.layer.1.intermediate.dense.weight,0.9986795,4.8700690269470215,0.11017309874296188
bert.encoder.layer.1.intermediate.dense.bias,0.9998871,4.068306922912598,0.09270228445529938
bert.encoder.layer.1.output.dense.weight,0.9987396,1.0960783958435059,0.04952158406376839
bert.encoder.layer.1.output.dense.bias,0.9999443,0.3951835632324219,0.01774972304701805
bert.encoder.layer.1.output.LayerNorm.weight,0.9999978,1.097641944885254,0.049609243869781494
bert.encoder.layer.1.output.LayerNorm.bias,0.999979,0.3733428418636322,0.016645455732941628
bert.encoder.layer.2.attention.self.query.weight,0.9990997,1.2027266025543213,0.05435192584991455
bert.encoder.layer.2.attention.self.query.bias,0.9999197,1.001877784729004,0.045513659715652466
bert.encoder.layer.2.attention.self.key.weight,0.99905086,1.2032945156097412,0.05437714233994484
bert.encoder.layer.2.attention.self.key.bias,0.99986225,0.03957708925008774,0.0019305241294205189
bert.encoder.layer.2.attention.self.value.weight,0.99798346,1.0677299499511719,0.048445094376802444
bert.encoder.layer.2.attention.self.value.bias,0.9999144,0.45455554127693176,0.02090427838265896
bert.encoder.layer.2.attention.output.dense.weight,0.9976611,1.0832051038742065,0.04897434636950493
bert.encoder.layer.2.attention.output.dense.bias,0.9999665,0.4479643404483795,0.0203053317964077
bert.encoder.layer.2.attention.output.LayerNorm.weight,0.9999979,1.1422377824783325,0.05069832131266594
bert.encoder.layer.2.attention.output.LayerNorm.bias,0.9999933,0.39411312341690063,0.017962506040930748
bert.encoder.layer.2.intermediate.dense.weight,0.99870753,4.899107456207275,0.11084738373756409
bert.encoder.layer.2.intermediate.dense.bias,0.99989134,4.132604598999023,0.09444551169872284
bert.encoder.layer.2.output.dense.weight,0.9987596,1.1014915704727173,0.04977552592754364
bert.encoder.layer.2.output.dense.bias,0.9999621,0.3798598051071167,0.01723768748342991
bert.encoder.layer.2.output.LayerNorm.weight,0.9999979,1.0634129047393799,0.047592613846063614
bert.encoder.layer.2.output.LayerNorm.bias,0.9999751,0.3542603850364685,0.015863049775362015
bert.encoder.layer.3.attention.self.query.weight,0.99890757,1.2169650793075562,0.05499650910496712
bert.encoder.layer.3.attention.self.query.bias,0.9999333,0.9910160303115845,0.04444988816976547
bert.encoder.layer.3.attention.self.key.weight,0.9988953,1.2149919271469116,0.054907917976379395
bert.encoder.layer.3.attention.self.key.bias,0.99990577,0.035888541489839554,0.001834135502576828
bert.encoder.layer.3.attention.self.value.weight,0.9983975,1.0538865327835083,0.04783603549003601
bert.encoder.layer.3.attention.self.value.bias,0.99980956,0.3780363202095032,0.017636526376008987
bert.encoder.layer.3.attention.output.dense.weight,0.99806046,1.0795012712478638,0.04882354661822319
bert.encoder.layer.3.attention.output.dense.bias,0.99995875,0.40033504366874695,0.01816839911043644
bert.encoder.layer.3.attention.output.LayerNorm.weight,0.9999981,1.0602247714996338,0.04818180948495865
bert.encoder.layer.3.attention.output.LayerNorm.bias,0.9999931,0.3618646264076233,0.016383403912186623
bert.encoder.layer.3.intermediate.dense.weight,0.99874735,4.897135257720947,0.11081328988075256
bert.encoder.layer.3.intermediate.dense.bias,0.9998885,4.098542213439941,0.09309305250644684
bert.encoder.layer.3.output.dense.weight,0.9988436,1.08037269115448,0.04881313443183899
bert.encoder.layer.3.output.dense.bias,0.99996895,0.34842097759246826,0.015993090346455574
bert.encoder.layer.3.output.LayerNorm.weight,0.999998,0.9810612201690674,0.044953469187021255
bert.encoder.layer.3.output.LayerNorm.bias,0.99996114,0.33301377296447754,0.015226101502776146
bert.encoder.layer.4.attention.self.query.weight,0.99884796,1.2225936651229858,0.0552971251308918
bert.encoder.layer.4.attention.self.query.bias,0.9999424,0.9526121616363525,0.04392942786216736
bert.encoder.layer.4.attention.self.key.weight,0.9988371,1.2204269170761108,0.055160075426101685
bert.encoder.layer.4.attention.self.key.bias,0.99991,0.03680691868066788,0.0017942815320566297
bert.encoder.layer.4.attention.self.value.weight,0.9986706,1.0547971725463867,0.04787841811776161
bert.encoder.layer.4.attention.self.value.bias,0.9997032,0.39576852321624756,0.018154604360461235
bert.encoder.layer.4.attention.output.dense.weight,0.9984511,1.0674654245376587,0.048268873244524
bert.encoder.layer.4.attention.output.dense.bias,0.99987215,0.4009028971195221,0.018439536914229393
bert.encoder.layer.4.attention.output.LayerNorm.weight,0.9999977,1.0808751583099365,0.04882100597023964
bert.encoder.layer.4.attention.output.LayerNorm.bias,0.9999907,0.3758968114852905,0.017376115545630455
bert.encoder.layer.4.intermediate.dense.weight,0.99877346,4.879373550415039,0.1104784682393074
bert.encoder.layer.4.intermediate.dense.bias,0.99990773,3.9861464500427246,0.09071500599384308
bert.encoder.layer.4.output.dense.weight,0.998903,1.0492483377456665,0.047411251813173294
bert.encoder.layer.4.output.dense.bias,0.99994457,0.35402911901474,0.01582496054470539
bert.encoder.layer.4.output.LayerNorm.weight,0.99999785,1.0102169513702393,0.0467427559196949
bert.encoder.layer.4.output.LayerNorm.bias,0.9999587,0.3296654522418976,0.014971804805099964
bert.encoder.layer.5.attention.self.query.weight,0.9989046,1.2349270582199097,0.0557953417301178
bert.encoder.layer.5.attention.self.query.bias,0.99991804,0.9854245781898499,0.04477956146001816
bert.encoder.layer.5.attention.self.key.weight,0.99890184,1.230796217918396,0.0556371696293354
bert.encoder.layer.5.attention.self.key.bias,0.9999537,0.0337851345539093,0.0015952609246596694
bert.encoder.layer.5.attention.self.value.weight,0.99858415,1.0885236263275146,0.04929787293076515
bert.encoder.layer.5.attention.self.value.bias,0.9996071,0.4683709740638733,0.021179037168622017
bert.encoder.layer.5.attention.output.dense.weight,0.9984449,1.0866962671279907,0.049117278307676315
bert.encoder.layer.5.attention.output.dense.bias,0.99990165,0.3728864789009094,0.01697556860744953
bert.encoder.layer.5.attention.output.LayerNorm.weight,0.9999979,1.0437519550323486,0.048298925161361694
bert.encoder.layer.5.attention.output.LayerNorm.bias,0.99999166,0.34772923588752747,0.01557850930839777
bert.encoder.layer.5.intermediate.dense.weight,0.99876326,4.88560152053833,0.11058297008275986
bert.encoder.layer.5.intermediate.dense.bias,0.9999073,4.017033100128174,0.09213538467884064
bert.encoder.layer.5.output.dense.weight,0.99890375,1.0325391292572021,0.04665759205818176
bert.encoder.layer.5.output.dense.bias,0.9999565,0.3246036767959595,0.014915862120687962
bert.encoder.layer.5.output.LayerNorm.weight,0.99999815,1.0171680450439453,0.04593600705265999
bert.encoder.layer.5.output.LayerNorm.bias,0.9999708,0.31421124935150146,0.014446921646595001
bert.encoder.layer.6.attention.self.query.weight,0.9988712,1.2392488718032837,0.056038688868284225
bert.encoder.layer.6.attention.self.query.bias,0.99990976,1.050711989402771,0.0477399118244648
